id,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
PAK,,,,,,,20.63,,,19.97,,,,,,2.58,,4.76,,,5.78,,,3.43,2.73,,2.11,,,1.17,1.1,,0.87,,,
PAN,,,,,,,,,16.31,,13.98,,,,11.04,,9.22,9.93,8.47,9.36,8.79,4.9,4.86,4.29,4.04,4.69,2.82,1.53,0.94,1.32,1.29,1.44,0.8,1.21,,
PER,,,,,5.15,,,,,,,,,4.56,,,7.22,6.87,7.23,6.2,6.67,5.74,4.02,3.91,4.62,4.09,3.22,2.38,1.82,1.3,1.14,1.13,0.94,0.79,,
PHL,,,,,7.39,,,6.23,,,6.83,,,6.32,,,4.09,,,4.44,,,4.04,,,3.67,,,2.43,,,2.74,,,,
PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,,,,,,,,,,,,,,,,28.11,,,,,,,,,,,,,15.92,,,,,,,
POL,,,,,0.13,,0.09,,0.08,,,,0.03,,,0.49,,0,0.01,0.02,0.02,0.01,0,0.02,0.02,0.42,0.01,0,0,0.25,0,0,0,0,,
PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,,,,,,,,,,0.3,,,,,5.25,,4.53,,4.07,,3.62,5.31,3.18,2.12,2.55,3.31,2.9,1.62,2.21,2.1,1.93,1.15,0.87,0.85,,
PSE,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.03,0.02,0.17,,0.02,,,,,,,
PSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
